id,category,score_name,score,notes,human_explanation,use_pop,use_emp,use_k12,use_tech,use_univ,use_doctor,use_dentist,use_hospital,use_pharmacy,use_retail,use_grocery,use_social_svcs,use_parks,use_trails,use_comm_ctrs,use_transit
1,People,Median score of access to population,0.0280,"Score of population accessible by low stress to population accessible overall, expressed as the median of all census blocks in the neighborhood","Half of all census blocks in the neighborhood have a ratio of low stress to high stress access above this number, half have a lower ratio.",,,,,,,,,,,,,,,,
2,People,70th percentile score of access to population,0.0587,"Score of population accessible by low stress to population accessible overall, expressed as the 70th percentile of all census blocks in the neighborhood","30% of all census blocks in the neighborhood have a ratio of low stress to high stress access above this number, 70% have a lower ratio.",,,,,,,,,,,,,,,,
3,People,30th percentile score of access to population,0.0097,"Score of population accessible by low stress to population accessible overall, expressed as the 30th percentile of all census blocks in the neighborhood","70% of all census blocks in the neighborhood have a ratio of low stress to high stress access above this number, 30% have a lower ratio.",,,,,,,,,,,,,,,,
4,People,Average score of access to population,0.0502,"Score of population accessible by low stress to population accessible overall, expressed as the average of all census blocks in the neighborhood","On average, census blocks in the neighborhood have this ratio of low stress to high stress access.",,,,,,,,,,,,,,,,
5,People,Average score of access to population,0.2736,Average population score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this population score.",t,,,,,,,,,,,,,,,
6,Opportunity,Median score of access to employment,0.0075,"Score of employment accessible by low stress to employment accessible overall, expressed as the median of all census blocks in the neighborhood","Half of all census blocks in the neighborhood have a ratio of low stress to high stress access above this number, half have a lower ratio.",,,,,,,,,,,,,,,,
7,Opportunity,70th percentile score of access to employment,0.0324,"Score of employment accessible by low stress to employment accessible overall, expressed as the 70th percentile of all census blocks in the neighborhood","30% of all census blocks in the neighborhood have a ratio of low stress to high stress access above this number, 70% have a lower ratio.",,,,,,,,,,,,,,,,
8,Opportunity,30th percentile score of access to employment,0.0017,"Score of employment accessible by low stress to employment accessible overall, expressed as the 30th percentile of all census blocks in the neighborhood","70% of all census blocks in the neighborhood have a ratio of low stress to high stress access above this number, 30% have a lower ratio.",,,,,,,,,,,,,,,,
9,Opportunity,Average score of access to employment,0.0583,"Score of employment accessible by low stress to employment accessible overall, expressed as the average of all census blocks in the neighborhood","On average, census blocks in the neighborhood have this ratio of low stress to high stress access.",,,,,,,,,,,,,,,,
10,Opportunity,Average score of access to jobs,0.1965,Average employment score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this employment score.",,t,,,,,,,,,,,,,,
11,Opportunity,Average score of low stress access to schools,0.0000,Number of schools accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many schools.",,,,,,,,,,,,,,,,
12,Opportunity,Median score of school access,0.0000,Score of schools accessible by low stress compared to schools accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of schools within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
13,Opportunity,70th percentile score of school access,0.0000,Score of schools accessible by low stress compared to schools accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of schools within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
14,Opportunity,30th percentile score of school access,0.0000,Score of schools accessible by low stress compared to schools accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of schools within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
15,Opportunity,Average score of access to K12 schools,0.1571,Average K12 schools score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this K12 schools score.",,,t,,,,,,,,,,,,,
16,Opportunity,Average school bike shed access score,0.0773,Score of population with low stress access compared to total population within the bike shed distance of schools in the neighborhood expressed as an average of all schools in the neighborhood,"On average, schools in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
17,Opportunity,Median school population shed score,0.0510,Score of population with low stress access to schools in the neighborhood to total population within the bike shed of each school expressed as a median of all schools in the neighborhood,"Half of schools in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage.",,,,,,,,,,,,,,,,
18,Opportunity,70th percentile school population shed score,0.1054,Score of population with low stress access to schools in the neighborhood to total population within the bike shed of each school expressed as the 70th percentile of all schools in the neighborhood,"30% of schools in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage.",,,,,,,,,,,,,,,,
19,Opportunity,30th percentile school population shed score,0.0324,Score of population with low stress access to schools in the neighborhood to total population within the bike shed of each school expressed as the 30th percentile of all schools in the neighborhood,"70% of schools in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage.",,,,,,,,,,,,,,,,
20,Opportunity,Average score of low stress access to tech/vocational colleges,0.0000,Number of tech/vocational colleges accessible by low stress expressed as an average of all census blocks in the neighborhood,"On average, census blocks in the neighborhood have low stress access to this many tech/vocational colleges.",,,,,,,,,,,,,,,,
21,Opportunity,Median score of tech/vocational college access,0.0000,Score of tech/vocational colleges accessible by low stress compared to tech/vocational colleges accessible by high stress expressed as the median of all census blocks in the neighborhood,"Half of census blocks in this neighborhood have low stress access to a higher ratio of tech/vocational colleges within biking distance, half have access to a lower ratio.",,,,,,,,,,,,,,,,
22,Opportunity,70th percentile score of tech/vocational college access,0.0000,Score of tech/vocational colleges accessible by low stress compared to tech/vocational colleges accessible by high stress expressed as the 70th percentile of all census blocks in the neighborhood,"30% of census blocks in this neighborhood have low stress access to a higher ratio of tech/vocational colleges within biking distance, 70% have access to a lower ratio.",,,,,,,,,,,,,,,,
23,Opportunity,30th percentile score of tech/vocational college access,0.0000,Score of tech/vocational colleges accessible by low stress compared to tech/vocational colleges accessible by high stress expressed as the 30th percentile of all census blocks in the neighborhood,"70% of census blocks in this neighborhood have low stress access to a higher ratio of tech/vocational colleges within biking distance, 30% have access to a lower ratio.",,,,,,,,,,,,,,,,
24,Opportunity,Average score of access to tech/vocational colleges,0.2933,Average tech/vocational colleges score for census blocks weighted by population.,"On average, census blocks in the neighborhood received this tech/vocational colleges score.",,,,t,,,,,,,,,,,,
25,Opportunity,Average college bike shed access score,0.2508,Score of population with low stress access compared to total population within the bike shed distance of tech/vocational colleges in the neighborhood expressed as an average of all colleges in the neighborhood,"On average, colleges in the neighborhood are connected by the low stress access to this percentage people within biking distance.",,,,,,,,,,,,,,,,
26,Opportunity,Median tech/vocational college population shed score,0.2966,Score of population with low stress access to tech/vocational colleges in the neighborhood to total population within the bike shed of each college expressed as a median of all colleges in the neighborhood,"Half of tech/vocational colleges in the neighborhood have low stress connections to a higher percentage of people within biking distance, half are connected to a lower percentage. (if only one tech/vocational college exists this is the score for  that one location)",,,,,,,,,,,,,,,,
27,Opportunity,70th percentile tech/vocational college population shed score,0.2966,Score of population with low stress access to tech/vocational colleges in the neighborhood to total population within the bike shed of each college expressed as the 70th percentile of all colleges in the neighborhood,"30% of tech/vocational colleges in the neighborhood have low stress connections to a higher percentage of people within biking distance, 70% are connected to a lower percentage. (if only one tech/vocational college exists this is the score for  that one location)",,,,,,,,,,,,,,,,
28,Opportunity,30th percentile tech/vocational college population shed score,0.2496,Score of population with low stress access to tech/vocational colleges in the neighborhood to total population within the bike shed of each college expressed as the 30th percentile of all colleges in the neighborhood,"70% of tech/vocational colleges in the neighborhood have low stress connections to a higher percentage of people within biking distance, 30% are connected to a lower percentage. (if only one tech/vocational college exists this is the score for  that one location)",,,,,,,,,,,,,,,,
