id,score_id,score_original,score_normalized,human_explanation
1,people,0.2736,27.3600,"On average, census blocks in the neighborhood received this population score."
2,opportunity_employment,0.1965,19.6500,"On average, census blocks in the neighborhood received this employment score."
3,opportunity_k12_education,0.1571,15.7100,"On average, census blocks in the neighborhood received this K12 schools score."
4,opportunity_technical_vocational_college,0.2933,29.3300,"On average, census blocks in the neighborhood received this tech/vocational colleges score."
5,opportunity_higher_education,0.4855,48.5500,"On average, census blocks in the neighborhood received this universities score."
6,opportunity,0.2502,25.0200,
7,core_services_doctors,0.1426,14.2600,"On average, census blocks in the neighborhood received this doctors score."
8,core_services_dentists,0.2423,24.2300,"On average, census blocks in the neighborhood received this dentists score."
9,core_services_hospitals,0.2110,21.1000,"On average, census blocks in the neighborhood received this hospital score."
10,core_services_pharmacies,0.1082,10.8200,"On average, census blocks in the neighborhood received this pharmacies score."
11,core_services_grocery,0.2246,22.4600,"On average, census blocks in the neighborhood received this grocery score."
12,core_services_social_services,0.0717,7.1700,"On average, census blocks in the neighborhood received this social services score."
13,core_services,0.1727,17.2700,
14,retail,0.4047,40.4700,"On average, census blocks in the neighborhood received this retail score."
15,recreation_parks,0.3111,31.1100,"On average, census blocks in the neighborhood received this parks score."
16,recreation_trails,0.0665,6.6500,"On average, census blocks in the neighborhood received this trails score."
17,recreation_community_centers,0.1668,16.6800,"On average, census blocks in the neighborhood received this community centers score."
18,recreation,0.1894,18.9400,
19,transit,0.0158,1.5800,"On average, census blocks in the neighborhood received this transit score."
20,overall_score,0.2614,26.1400,
21,population_total,141365.0000,,Total population of boundary
22,total_miles_low_stress,250.6950,250.7000,Total low-stress miles
23,total_miles_high_stress,1075.8236,1075.8000,Total high-stress miles
